id,question,Engineering,IT,Medical,Commerce
53,I enjoy site supervision,5,2,1,2
54,I like urban planning,5,2,1,2
55,I enjoy structural design,5,2,1,2
56,I am interested in law,1,1,3,4
57,I enjoy debating,1,1,3,4
58,I want to work in civil services,2,2,2,5
59,I like public administration,2,2,2,5
60,I enjoy policy making,2,2,3,5
61,I like working with plants,4,1,2,2
62,I enjoy environmental protection,4,1,3,2
63,I like sustainable practices,4,2,2,2
64,I enjoy outdoor fieldwork,4,1,2,2
65,I want to work in rural development,4,1,2,3
66,I like teamwork,3,3,3,3
67,I like independent work,3,3,2,3
68,I enjoy problem-solving challenges,4,4,3,2
69,I enjoy creative freedom,2,4,2,3
70,I like structured work,4,3,2,4
71,I enjoy building mobile applications,3,5,1,1
72,I like working with APIs,2,5,1,1
73,I enjoy cloud platforms like AWS or Azure,2,5,1,1
74,I like automating tasks,3,5,1,1
75,I enjoy testing software products,3,5,1,1
76,I like improving system performance,3,5,1,1
77,I enjoy open-source contribution,2,5,1,1
78,I like learning new tech stacks,3,5,1,1
79,I enjoy database design,3,5,1,1
80,I like system architecture design,3,5,1,1
81,I enjoy working with large datasets,2,5,1,2
82,I like predicting outcomes using data,2,5,1,2
83,I enjoy machine learning concepts,2,5,1,2
84,I like building recommendation systems,2,5,1,2
85,I enjoy mathematical modeling,3,5,1,2
86,I like data-driven decision making,2,5,1,3
87,I enjoy research-based work,3,4,2,2
88,I like AI ethics and fairness,2,5,1,1
89,I enjoy natural language processing,2,5,1,1
90,I like computer vision tasks,2,5,1,1
91,I enjoy leading a team,2,3,2,5
92,I like setting project deadlines,2,3,2,5
93,I enjoy business strategy,1,3,1,5
94,I like analyzing market trends,1,3,1,5
95,I enjoy customer interaction,1,3,1,5
96,I like sales-oriented work,1,2,1,5
97,I enjoy startup environments,1,3,1,5
98,I like managing company operations,1,3,1,5
99,I enjoy financial planning,1,2,1,5
100,I like negotiating deals,1,2,1,5
101,I enjoy animation work,2,3,1,2
102,I like digital illustration,2,3,1,2
103,I enjoy branding projects,2,3,1,2
104,I like motion graphics,2,3,1,2
105,I enjoy music production,1,2,1,2
106,I like acting or stage performance,1,2,1,2
107,I enjoy content marketing,1,2,1,3
108,I like podcasting,1,2,1,2
109,I enjoy fashion styling,1,2,1,2
110,I like creative direction roles,2,3,1,2
111,I enjoy social work,1,1,5,2
112,I like helping underprivileged communities,1,1,5,2
113,I enjoy counseling people,1,1,5,2
114,I like psychology-related work,1,1,5,2
115,I enjoy human resource management,2,3,2,4
116,I like training and development,2,3,2,4
117,I enjoy travel planning,1,2,1,3
118,I like event management,1,2,1,3
119,I enjoy hospitality services,1,2,1,3
120,I like working in aviation,2,3,1,2
121,I enjoy high-pressure environments,3,3,3,3
122,I like disciplined routines,3,2,3,3
123,I enjoy risk-taking,2,3,1,4
124,I prefer stable jobs,4,2,3,5
125,I enjoy creative problem solving,3,4,2,3
126,I like independent freelancing,2,4,1,3
127,I enjoy teamwork environments,3,3,2,4
128,I like multitasking,3,3,2,3
129,I enjoy learning continuously,3,4,2,3
130,I like structured career paths,3,3,2,4
131,I enjoy mentoring juniors,2,3,3,3
132,I like public speaking,1,2,3,4
133,I enjoy leadership challenges,3,3,2,4
134,I like innovation-driven roles,3,4,2,3
135,I enjoy ethical responsibility,3,2,3,3
136,I like policy implementation,2,2,3,4
137,I enjoy international exposure,2,3,2,4
138,I like cross-cultural work,2,3,2,4
139,I enjoy long-term planning,3,3,2,4
140,I like solving real-world problems,3,4,2,3
141,I enjoy innovation competitions,2,3,2,3
142,I like interdisciplinary work,3,4,2,3
143,I enjoy technology for social good,3,5,1,2
144,I like sustainability projects,3,3,2,2
145,I enjoy research & development,3,4,2,2
146,I like futuristic technologies,3,5,1,2
147,I enjoy mentoring startups,2,3,2,3
148,I like community leadership,2,2,3,3
149,I enjoy policy and governance,2,2,3,4
150,I like creating impact at scale,2,2,3,4
